Thu Nov  5 23:03:06 2020 Fold 0, Epoch 15, lr: 0.0001743, train loss: 0.02555, valid loss: 0.00392, Acc: 100.0000, AUC: 1.000000.
Thu Nov  5 23:11:30 2020 Fold 0, Epoch 16, lr: 0.0001581, train loss: 0.03003, valid loss: 0.00307, Acc: 99.9337, AUC: 1.000000.
Thu Nov  5 23:19:54 2020 Fold 0, Epoch 17, lr: 0.0001419, train loss: 0.02104, valid loss: 0.00253, Acc: 100.0000, AUC: 1.000000.
Thu Nov  5 23:28:18 2020 Fold 0, Epoch 18, lr: 0.0001257, train loss: 0.01955, valid loss: 0.02477, Acc: 99.1051, AUC: 1.000000.
Thu Nov  5 23:36:42 2020 Fold 0, Epoch 19, lr: 0.0001099, train loss: 0.01794, valid loss: 0.00436, Acc: 99.9006, AUC: 1.000000.
Thu Nov  5 23:45:04 2020 Fold 0, Epoch 20, lr: 0.0000945, train loss: 0.01624, valid loss: 0.00646, Acc: 99.8674, AUC: 1.000000.
Thu Nov  5 23:53:28 2020 Fold 0, Epoch 21, lr: 0.0000797, train loss: 0.01532, valid loss: 0.00129, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 00:01:51 2020 Fold 0, Epoch 22, lr: 0.0000658, train loss: 0.01725, valid loss: 0.01536, Acc: 99.5691, AUC: 1.000000.
Fri Nov  6 00:10:14 2020 Fold 0, Epoch 23, lr: 0.0000529, train loss: 0.01352, valid loss: 0.00242, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 00:18:38 2020 Fold 0, Epoch 24, lr: 0.0000411, train loss: 0.00987, valid loss: 0.00307, Acc: 99.9669, AUC: 1.000000.
Fri Nov  6 00:27:02 2020 Fold 0, Epoch 25, lr: 0.0000306, train loss: 0.00931, valid loss: 0.00563, Acc: 99.9006, AUC: 1.000000.
Fri Nov  6 00:35:25 2020 Fold 0, Epoch 26, lr: 0.0000215, train loss: 0.00950, valid loss: 0.00328, Acc: 99.9669, AUC: 1.000000.
Fri Nov  6 00:43:49 2020 Fold 0, Epoch 27, lr: 0.0000139, train loss: 0.00815, valid loss: 0.00138, Acc: 99.9669, AUC: 1.000000.
Fri Nov  6 00:52:13 2020 Fold 0, Epoch 28, lr: 0.0000079, train loss: 0.00738, valid loss: 0.00845, Acc: 99.8674, AUC: 1.000000.
Fri Nov  6 01:00:37 2020 Fold 0, Epoch 29, lr: 0.0000035, train loss: 0.00758, valid loss: 0.00167, Acc: 99.9669, AUC: 1.000000.
Fri Nov  6 01:09:00 2020 Fold 0, Epoch 30, lr: 0.0000009, train loss: 0.00988, valid loss: 0.00597, Acc: 99.9006, AUC: 1.000000.
Fri Nov  6 01:17:27 2020 Fold 1, Epoch 1, lr: 0.0000300, train loss: 0.24302, valid loss: 0.11066, Acc: 96.8889, AUC: 0.993456.
Fri Nov  6 01:25:52 2020 Fold 1, Epoch 2, lr: 0.0003000, train loss: 0.15739, valid loss: 0.07249, Acc: 98.0513, AUC: 0.999030.
Fri Nov  6 01:34:18 2020 Fold 1, Epoch 3, lr: 0.0002991, train loss: 0.09277, valid loss: 0.03452, Acc: 99.2821, AUC: 0.998849.
Fri Nov  6 01:42:45 2020 Fold 1, Epoch 4, lr: 0.0002965, train loss: 0.07770, valid loss: 0.06307, Acc: 97.9487, AUC: 0.999848.
Fri Nov  6 01:51:11 2020 Fold 1, Epoch 5, lr: 0.0002921, train loss: 0.06742, valid loss: 0.02592, Acc: 99.2821, AUC: 0.999540.
Fri Nov  6 01:59:37 2020 Fold 1, Epoch 6, lr: 0.0002861, train loss: 0.06538, valid loss: 0.01645, Acc: 99.4872, AUC: 0.999767.
Fri Nov  6 02:08:03 2020 Fold 1, Epoch 7, lr: 0.0002785, train loss: 0.04716, valid loss: 0.01379, Acc: 99.6581, AUC: 0.999932.
Fri Nov  6 02:16:30 2020 Fold 1, Epoch 8, lr: 0.0002694, train loss: 0.05115, valid loss: 0.03924, Acc: 98.5641, AUC: 0.998873.
Fri Nov  6 02:24:55 2020 Fold 1, Epoch 9, lr: 0.0002589, train loss: 0.05528, valid loss: 0.01781, Acc: 99.7607, AUC: 0.999997.
Fri Nov  6 02:33:21 2020 Fold 1, Epoch 10, lr: 0.0002471, train loss: 0.03768, valid loss: 0.00637, Acc: 99.8974, AUC: 0.999996.
Fri Nov  6 02:41:47 2020 Fold 1, Epoch 11, lr: 0.0002342, train loss: 0.03446, valid loss: 0.01942, Acc: 99.7607, AUC: 1.000000.
Fri Nov  6 02:50:13 2020 Fold 1, Epoch 12, lr: 0.0002203, train loss: 0.03658, valid loss: 0.01857, Acc: 99.7265, AUC: 1.000000.
Fri Nov  6 02:58:38 2020 Fold 1, Epoch 13, lr: 0.0002055, train loss: 0.02918, valid loss: 0.01032, Acc: 99.7607, AUC: 0.999998.
Fri Nov  6 03:07:04 2020 Fold 1, Epoch 14, lr: 0.0001901, train loss: 0.03703, valid loss: 0.00733, Acc: 99.5897, AUC: 1.000000.
Fri Nov  6 03:15:31 2020 Fold 1, Epoch 15, lr: 0.0001743, train loss: 0.02816, valid loss: 0.01255, Acc: 99.7949, AUC: 0.999953.
Fri Nov  6 03:23:57 2020 Fold 1, Epoch 16, lr: 0.0001581, train loss: 0.02274, valid loss: 0.00624, Acc: 99.8291, AUC: 0.999986.
Fri Nov  6 03:32:23 2020 Fold 1, Epoch 17, lr: 0.0001419, train loss: 0.02243, valid loss: 0.02713, Acc: 99.3504, AUC: 0.999992.
Fri Nov  6 03:40:49 2020 Fold 1, Epoch 18, lr: 0.0001257, train loss: 0.01857, valid loss: 0.00799, Acc: 99.8974, AUC: 1.000000.
Fri Nov  6 03:49:15 2020 Fold 1, Epoch 19, lr: 0.0001099, train loss: 0.01864, valid loss: 0.00563, Acc: 99.9316, AUC: 1.000000.
Fri Nov  6 03:57:41 2020 Fold 1, Epoch 20, lr: 0.0000945, train loss: 0.01612, valid loss: 0.00361, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 04:06:07 2020 Fold 1, Epoch 21, lr: 0.0000797, train loss: 0.01087, valid loss: 0.00165, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 04:14:33 2020 Fold 1, Epoch 22, lr: 0.0000658, train loss: 0.01165, valid loss: 0.00858, Acc: 99.8632, AUC: 1.000000.
Fri Nov  6 04:23:00 2020 Fold 1, Epoch 23, lr: 0.0000529, train loss: 0.02354, valid loss: 0.00234, Acc: 99.9316, AUC: 1.000000.
Fri Nov  6 04:31:28 2020 Fold 1, Epoch 24, lr: 0.0000411, train loss: 0.00744, valid loss: 0.00342, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 04:39:55 2020 Fold 1, Epoch 25, lr: 0.0000306, train loss: 0.00736, valid loss: 0.00373, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 04:48:20 2020 Fold 1, Epoch 26, lr: 0.0000215, train loss: 0.00904, valid loss: 0.00323, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 04:57:04 2020 Fold 1, Epoch 27, lr: 0.0000139, train loss: 0.00716, valid loss: 0.00410, Acc: 99.9658, AUC: 1.000000.
Fri Nov  6 05:05:54 2020 Fold 1, Epoch 28, lr: 0.0000079, train loss: 0.00739, valid loss: 0.00339, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 05:14:43 2020 Fold 1, Epoch 29, lr: 0.0000035, train loss: 0.01270, valid loss: 0.00282, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 05:23:33 2020 Fold 1, Epoch 30, lr: 0.0000009, train loss: 0.00874, valid loss: 0.00303, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 05:32:29 2020 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.24914, valid loss: 0.09939, Acc: 97.5204, AUC: 0.999391.
Fri Nov  6 05:41:25 2020 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.15392, valid loss: 0.03880, Acc: 99.0748, AUC: 0.999797.
Fri Nov  6 05:50:21 2020 Fold 2, Epoch 3, lr: 0.0002991, train loss: 0.09045, valid loss: 0.02329, Acc: 99.1858, AUC: 0.999958.
Fri Nov  6 05:59:17 2020 Fold 2, Epoch 4, lr: 0.0002965, train loss: 0.08788, valid loss: 0.03463, Acc: 99.6299, AUC: 0.999999.
Fri Nov  6 06:08:11 2020 Fold 2, Epoch 5, lr: 0.0002921, train loss: 0.06497, valid loss: 0.00208, Acc: 99.9260, AUC: 1.000000.
Fri Nov  6 06:17:03 2020 Fold 2, Epoch 6, lr: 0.0002861, train loss: 0.07845, valid loss: 0.00562, Acc: 99.8520, AUC: 0.999998.
Fri Nov  6 06:25:54 2020 Fold 2, Epoch 7, lr: 0.0002785, train loss: 0.05854, valid loss: 0.02406, Acc: 99.7779, AUC: 0.999987.
Fri Nov  6 06:34:49 2020 Fold 2, Epoch 8, lr: 0.0002694, train loss: 0.05824, valid loss: 0.01408, Acc: 99.4449, AUC: 0.999986.
Fri Nov  6 06:43:44 2020 Fold 2, Epoch 9, lr: 0.0002589, train loss: 0.04921, valid loss: 0.01768, Acc: 99.6669, AUC: 1.000000.
Fri Nov  6 06:52:39 2020 Fold 2, Epoch 10, lr: 0.0002471, train loss: 0.04285, valid loss: 0.00947, Acc: 99.9630, AUC: 1.000000.
Fri Nov  6 07:01:35 2020 Fold 2, Epoch 11, lr: 0.0002342, train loss: 0.03701, valid loss: 0.02543, Acc: 99.5559, AUC: 1.000000.
Fri Nov  6 07:10:30 2020 Fold 2, Epoch 12, lr: 0.0002203, train loss: 0.03437, valid loss: 0.00596, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 07:19:25 2020 Fold 2, Epoch 13, lr: 0.0002055, train loss: 0.03457, valid loss: 0.00201, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 07:28:21 2020 Fold 2, Epoch 14, lr: 0.0001901, train loss: 0.03823, valid loss: 0.00177, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 07:37:17 2020 Fold 2, Epoch 15, lr: 0.0001743, train loss: 0.02586, valid loss: 0.00392, Acc: 100.0000, AUC: 1.000000.
Fri Nov  6 07:46:13 2020 Fold 2, Epoch 16, lr: 0.0001581, train loss: 0.03169, valid loss: 0.00755, Acc: 100.0000, AUC: 1.000000.
