Mon Dec 28 02:37:09 2020 Fold 1, Epoch 17, lr: 0.0000316, train loss: 0.00895, valid loss: 0.01798, Acc: 99.5214, AUC: 0.999968.
Mon Dec 28 02:48:07 2020 Fold 1, Epoch 18, lr: 0.0000181, train loss: 0.01118, valid loss: 0.01830, Acc: 99.4530, AUC: 0.999985.
Mon Dec 28 02:59:05 2020 Fold 1, Epoch 19, lr: 0.0000081, train loss: 0.01260, valid loss: 0.02364, Acc: 99.3162, AUC: 0.999981.
Mon Dec 28 03:10:03 2020 Fold 1, Epoch 20, lr: 0.0000020, train loss: 0.01260, valid loss: 0.01492, Acc: 99.7265, AUC: 0.999983.
Mon Dec 28 03:21:35 2020 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.21609, valid loss: 0.08735, Acc: 98.7787, AUC: 0.999165.
Mon Dec 28 03:33:05 2020 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.16478, valid loss: 0.07161, Acc: 98.7787, AUC: 0.999962.
Mon Dec 28 03:44:34 2020 Fold 2, Epoch 3, lr: 0.0002980, train loss: 0.09201, valid loss: 0.02317, Acc: 99.6669, AUC: 0.999988.
Mon Dec 28 03:56:03 2020 Fold 2, Epoch 4, lr: 0.0002919, train loss: 0.09559, valid loss: 0.02490, Acc: 99.0007, AUC: 0.999973.
Mon Dec 28 04:07:37 2020 Fold 2, Epoch 5, lr: 0.0002819, train loss: 0.10401, valid loss: 0.02434, Acc: 99.5929, AUC: 0.999940.
Mon Dec 28 04:19:07 2020 Fold 2, Epoch 6, lr: 0.0002684, train loss: 0.08050, valid loss: 0.01779, Acc: 99.9260, AUC: 1.000000.
Mon Dec 28 04:30:38 2020 Fold 2, Epoch 7, lr: 0.0002516, train loss: 0.09541, valid loss: 0.01882, Acc: 99.8520, AUC: 0.999994.
Mon Dec 28 04:42:09 2020 Fold 2, Epoch 8, lr: 0.0002320, train loss: 0.07562, valid loss: 0.08865, Acc: 97.2613, AUC: 0.993596.
Mon Dec 28 04:53:38 2020 Fold 2, Epoch 9, lr: 0.0002103, train loss: 0.08462, valid loss: 0.03895, Acc: 99.8150, AUC: 0.999983.
Mon Dec 28 05:05:07 2020 Fold 2, Epoch 10, lr: 0.0001868, train loss: 0.05758, valid loss: 0.00685, Acc: 99.9630, AUC: 1.000000.
Mon Dec 28 05:16:34 2020 Fold 2, Epoch 11, lr: 0.0001624, train loss: 0.04143, valid loss: 0.01064, Acc: 99.8150, AUC: 0.999996.
Mon Dec 28 05:28:02 2020 Fold 2, Epoch 12, lr: 0.0001376, train loss: 0.02698, valid loss: 0.00835, Acc: 99.9260, AUC: 1.000000.
Mon Dec 28 05:39:30 2020 Fold 2, Epoch 13, lr: 0.0001132, train loss: 0.03844, valid loss: 0.00747, Acc: 99.8890, AUC: 0.999997.
Mon Dec 28 05:50:58 2020 Fold 2, Epoch 14, lr: 0.0000897, train loss: 0.03745, valid loss: 0.01279, Acc: 99.8150, AUC: 1.000000.
Mon Dec 28 06:02:28 2020 Fold 2, Epoch 15, lr: 0.0000680, train loss: 0.03255, valid loss: 0.01289, Acc: 99.5929, AUC: 1.000000.
Mon Dec 28 06:13:56 2020 Fold 2, Epoch 16, lr: 0.0000484, train loss: 0.01745, valid loss: 0.00830, Acc: 99.8150, AUC: 1.000000.
Mon Dec 28 06:25:25 2020 Fold 2, Epoch 17, lr: 0.0000316, train loss: 0.02736, valid loss: 0.00592, Acc: 100.0000, AUC: 1.000000.
Mon Dec 28 06:36:54 2020 Fold 2, Epoch 18, lr: 0.0000181, train loss: 0.01443, valid loss: 0.00417, Acc: 100.0000, AUC: 1.000000.
Mon Dec 28 06:48:23 2020 Fold 2, Epoch 19, lr: 0.0000081, train loss: 0.02003, valid loss: 0.00270, Acc: 100.0000, AUC: 1.000000.
Mon Dec 28 06:59:51 2020 Fold 2, Epoch 20, lr: 0.0000020, train loss: 0.01404, valid loss: 0.00365, Acc: 100.0000, AUC: 1.000000.
Mon Dec 28 07:11:17 2020 Fold 3, Epoch 1, lr: 0.0000300, train loss: 0.22567, valid loss: 0.10816, Acc: 98.5273, AUC: 0.999377.
Mon Dec 28 07:22:44 2020 Fold 3, Epoch 2, lr: 0.0003000, train loss: 0.16082, valid loss: 0.05340, Acc: 97.6652, AUC: 0.999518.
Mon Dec 28 07:34:10 2020 Fold 3, Epoch 3, lr: 0.0002980, train loss: 0.12542, valid loss: 0.03798, Acc: 98.1681, AUC: 0.999937.
Mon Dec 28 07:45:37 2020 Fold 3, Epoch 4, lr: 0.0002919, train loss: 0.08364, valid loss: 0.02336, Acc: 99.7126, AUC: 0.999995.
Mon Dec 28 07:57:04 2020 Fold 3, Epoch 5, lr: 0.0002819, train loss: 0.09209, valid loss: 0.03936, Acc: 98.9943, AUC: 0.999570.
Mon Dec 28 08:08:30 2020 Fold 3, Epoch 6, lr: 0.0002684, train loss: 0.09164, valid loss: 0.03214, Acc: 99.4612, AUC: 0.999839.
Mon Dec 28 08:19:57 2020 Fold 3, Epoch 7, lr: 0.0002516, train loss: 0.06031, valid loss: 0.01356, Acc: 99.8563, AUC: 0.999994.
Mon Dec 28 08:31:23 2020 Fold 3, Epoch 8, lr: 0.0002320, train loss: 0.07540, valid loss: 0.06369, Acc: 98.4555, AUC: 0.995716.
Mon Dec 28 08:42:49 2020 Fold 3, Epoch 9, lr: 0.0002103, train loss: 0.06356, valid loss: 0.27605, Acc: 98.8147, AUC: 0.979168.
Mon Dec 28 08:54:16 2020 Fold 3, Epoch 10, lr: 0.0001868, train loss: 0.06018, valid loss: 0.03038, Acc: 98.9943, AUC: 0.999696.
Mon Dec 28 09:05:42 2020 Fold 3, Epoch 11, lr: 0.0001624, train loss: 0.04489, valid loss: 0.04595, Acc: 98.9583, AUC: 0.999417.
Mon Dec 28 09:17:08 2020 Fold 3, Epoch 12, lr: 0.0001376, train loss: 0.05373, valid loss: 0.07740, Acc: 98.8147, AUC: 0.990552.
Mon Dec 28 09:28:35 2020 Fold 3, Epoch 13, lr: 0.0001132, train loss: 0.02481, valid loss: 0.06401, Acc: 98.8506, AUC: 0.998711.
Mon Dec 28 09:40:01 2020 Fold 3, Epoch 14, lr: 0.0000897, train loss: 0.03837, valid loss: 0.15848, Acc: 98.8865, AUC: 0.990307.
Mon Dec 28 09:51:27 2020 Fold 3, Epoch 15, lr: 0.0000680, train loss: 0.03173, valid loss: 0.14313, Acc: 98.7069, AUC: 0.986019.
Mon Dec 28 10:02:53 2020 Fold 3, Epoch 16, lr: 0.0000484, train loss: 0.04095, valid loss: 0.13485, Acc: 98.8147, AUC: 0.987795.
Mon Dec 28 10:14:19 2020 Fold 3, Epoch 17, lr: 0.0000316, train loss: 0.01942, valid loss: 0.19939, Acc: 97.7371, AUC: 0.985396.
Mon Dec 28 10:25:46 2020 Fold 3, Epoch 18, lr: 0.0000181, train loss: 0.02052, valid loss: 0.15656, Acc: 98.5632, AUC: 0.984438.
Mon Dec 28 10:37:13 2020 Fold 3, Epoch 19, lr: 0.0000081, train loss: 0.01827, valid loss: 0.15718, Acc: 98.6710, AUC: 0.988486.
Mon Dec 28 10:48:38 2020 Fold 3, Epoch 20, lr: 0.0000020, train loss: 0.01881, valid loss: 0.16106, Acc: 98.6710, AUC: 0.983802.
Mon Dec 28 11:00:03 2020 Fold 4, Epoch 1, lr: 0.0000300, train loss: 0.22769, valid loss: 0.14689, Acc: 95.0088, AUC: 0.996639.
Mon Dec 28 11:11:27 2020 Fold 4, Epoch 2, lr: 0.0003000, train loss: 0.17339, valid loss: 0.04901, Acc: 98.1371, AUC: 0.998377.
Mon Dec 28 11:22:52 2020 Fold 4, Epoch 3, lr: 0.0002980, train loss: 0.10675, valid loss: 0.04134, Acc: 98.9807, AUC: 0.999985.
Mon Dec 28 11:34:16 2020 Fold 4, Epoch 4, lr: 0.0002919, train loss: 0.09474, valid loss: 0.01896, Acc: 99.5079, AUC: 0.999956.
Mon Dec 28 11:45:40 2020 Fold 4, Epoch 5, lr: 0.0002819, train loss: 0.09021, valid loss: 0.01520, Acc: 99.5431, AUC: 0.999966.
Mon Dec 28 11:57:04 2020 Fold 4, Epoch 6, lr: 0.0002684, train loss: 0.08018, valid loss: 0.10185, Acc: 96.2039, AUC: 0.999929.
Mon Dec 28 12:08:28 2020 Fold 4, Epoch 7, lr: 0.0002516, train loss: 0.07566, valid loss: 0.01866, Acc: 99.4728, AUC: 0.999948.
Mon Dec 28 12:19:54 2020 Fold 4, Epoch 8, lr: 0.0002320, train loss: 0.06377, valid loss: 0.00820, Acc: 99.7891, AUC: 0.999999.
Mon Dec 28 12:31:18 2020 Fold 4, Epoch 9, lr: 0.0002103, train loss: 0.06198, valid loss: 0.02743, Acc: 99.3673, AUC: 0.999993.
Mon Dec 28 12:42:45 2020 Fold 4, Epoch 10, lr: 0.0001868, train loss: 0.06185, valid loss: 0.02416, Acc: 99.8243, AUC: 0.999993.
